# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
2310 0.983055 -1.33009 0.787873
2320 0.975868 -1.32336 0.821948
2330 0.972921 -1.30751 0.878674
2340 1.01728 -1.32399 0.84754
2350 0.983245 -1.28223 0.973899
2360 0.959265 -1.31228 0.850674
2370 1.00487 -1.32853 0.802983
2380 1.02499 -1.34207 0.743599
2390 1.01098 -1.31316 0.835675
2400 0.985571 -1.30882 0.873584
2410 0.999365 -1.30266 0.913748
2420 1.0093 -1.30943 0.909914
2430 0.995482 -1.2877 1.00349
2440 0.998416 -1.30141 0.942926
2450 1.01373 -1.30677 0.936459
2460 0.991138 -1.33758 0.81273
2470 1.01322 -1.33495 0.808908
2480 1.02752 -1.32942 0.840395
2490 0.99241 -1.28974 0.951694
2500 0.993028 -1.3244 0.816484
2510 1.02832 -1.30599 0.883057
2520 1.0148 -1.30172 0.899341
2530 1.02563 -1.29538 0.921528
2540 0.980802 -1.31426 0.810205
2550 1.01738 -1.34159 0.709147
2560 0.973884 -1.33833 0.714485
2570 0.959631 -1.30506 0.838256
2580 0.972265 -1.32287 0.793704
2590 0.992924 -1.31214 0.862934
2600 1.00536 -1.316 0.876556
2610 1.04031 -1.30314 0.930278
2620 1.07884 -1.33145 0.844695
2630 1.0002 -1.31456 0.851435
2640 1.03042 -1.31389 0.86225
2650 1.00702 -1.33861 0.754945
2660 1.05118 -1.31624 0.848672
2670 1.01545 -1.3156 0.836992
2680 1.02094 -1.33128 0.767418
2690 0.966506 -1.31946 0.769943
2700 0.971233 -1.32126 0.775881
2710 0.994892 -1.28816 0.915064
2720 1.05526 -1.30907 0.849896
2730 1.01963 -1.30666 0.822973
2740 0.989948 -1.28323 0.878299
2750 1.05793 -1.30969 0.811716
2760 1.02519 -1.31267 0.786474
2770 0.999227 -1.29132 0.86231
2780 1.01945 -1.28297 0.898815
2790 1.01174 -1.27403 0.939311
2800 1.02783 -1.29483 0.865644
2810 1.00329 -1.32183 0.732455
2820 0.994252 -1.31703 0.731515
2830 0.993469 -1.31624 0.74377
2840 1.00491 -1.31362 0.749672
2850 0.994075 -1.31767 0.736687
2860 0.938979 -1.30427 0.767758
2870 0.990823 -1.32602 0.722977
2880 0.983879 -1.29903 0.818352
2890 1.0453 -1.29963 0.860252
2900 1.0177 -1.30308 0.83091
2910 1.02517 -1.32451 0.75114
2920 0.991289 -1.3091 0.793937
2930 1.00447 -1.30621 0.813147
2940 0.991077 -1.30878 0.798603
2950 0.98618 -1.32095 0.737843
2960 0.983311 -1.30816 0.776318
2970 1.00563 -1.29608 0.842862
2980 1.03987 -1.30122 0.843578
2990 1.00718 -1.30045 0.817356
3000 1.07178 -1.31153 0.79668
3010 1.00983 -1.27773 0.86695
3020 1.03598 -1.3101 0.761608
3030 1.003 -1.31158 0.743483
3040 0.993641 -1.29394 0.808367
3050 0.971222 -1.28312 0.826326
3060 0.9934 -1.29988 0.767904
3070 1.00619 -1.31285 0.721801
3080 0.988564 -1.30473 0.766695
3090 0.971456 -1.29013 0.852502
3100 0.945449 -1.30545 0.797799
3110 0.98347 -1.31178 0.797154
3120 0.963418 -1.28078 0.896615
3130 1.0041 -1.30977 0.837623
3140 1.04578 -1.31436 0.841401
3150 1.03196 -1.30652 0.845467
3160 0.998462 -1.29718 0.844702
3170 1.01797 -1.28991 0.866845
3180 0.966166 -1.29245 0.825511
3190 0.981398 -1.30578 0.780117
3200 1.01428 -1.29879 0.801568
3210 1.00105 -1.31294 0.733951
3220 1.01743 -1.3026 0.786688
3230 1.01517 -1.28038 0.893224
3240 1.049 -1.29039 0.885236
