# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
218000 -3.23335e-16 -3.23335e-16
219000 1.61051e-15 1.61051e-15
220000 6.12899e-16 6.12899e-16
221000 7.36251e-16 7.36251e-16
222000 -3.28472e-15 -3.28472e-15
223000 1.11335e-15 1.11335e-15
224000 3.50773e-15 3.50773e-15
225000 -6.55205e-16 -6.55205e-16
226000 7.59367e-16 7.59367e-16
227000 -1.13267e-15 -1.13267e-15
228000 2.34222e-16 2.34222e-16
229000 4.28026e-16 4.28026e-16
230000 6.10529e-16 6.10529e-16
231000 3.98434e-15 3.98434e-15
232000 4.29969e-16 4.29969e-16
233000 1.18499e-15 1.18499e-15
234000 -1.07119e-16 -1.07119e-16
235000 -1.48166e-15 -1.48166e-15
236000 -3.9492e-15 -3.9492e-15
237000 -7.59746e-15 -7.59746e-15
238000 9.86711e-16 9.86711e-16
239000 -5.26457e-15 -5.26457e-15
240000 5.23852e-15 5.23852e-15
241000 4.08899e-15 4.08899e-15
242000 3.31243e-15 3.31243e-15
243000 -6.03777e-15 -6.03777e-15
244000 4.37199e-15 4.37199e-15
245000 -6.38274e-16 -6.38274e-16
246000 -3.54432e-15 -3.54432e-15
247000 -2.10247e-15 -2.10247e-15
248000 3.44108e-16 3.44108e-16
249000 -1.92441e-15 -1.92441e-15
250000 -9.25928e-16 -9.25928e-16
251000 -2.95614e-16 -2.95614e-16
252000 -2.52237e-15 -2.52237e-15
253000 -3.36516e-15 -3.36516e-15
254000 -1.32949e-16 -1.32949e-16
255000 -1.11265e-15 -1.11265e-15
